"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
numero_do_paciente,lipodistrofia,,text,"Número do paciente",,,number,0,,,,,,,,,
data_de_entrevista,lipodistrofia," section",text,"Data de entrevista",,,date_dmy,,,,,,,,,,
prontuario,lipodistrofia,,text,Prontuário,,,,,,,,,,,,,
nome,lipodistrofia,,text,Nome,,,,,,,,,,,,,
telefone,lipodistrofia,,text,Telefone,,,phone,,,,,,,,,,
data_de_nascimento,lipodistrofia,,text,"Data de nascimento",,,date_dmy,,,,,,,,,,
sexo,lipodistrofia,,radio,Sexo,"1, Feminino | 2, Masculino",,,,,,,,,,,,
idade_anos,lipodistrofia,,text,"Idade (anos)",,,number,0,120,,,,,,,,
naturalidade,lipodistrofia,,text,Naturalidade,,,number,0,120,,,,,,,,
profissao,lipodistrofia,,text,Profissão,,,,,,,,,,,,,
cor_autoreferida,lipodistrofia,,radio,"Cor auto-referida","1, Branca | 2, Preta | 3, Parda/mulata | 4, Amarela/oriental | 5, Indígena",,,,,,,,,,,,
estado_civil,lipodistrofia,,radio,"Estado Civil","1, Solteiro | 2, Casado | 3, Separado/Divorciado | 4, União Estável",,,,,,,,,,,,
escolaridade,lipodistrofia,,dropdown,Escolaridade,"1, Ensino Fundamental Completo | 2, Ensino Fundamental Incompleto | 3, Ensino Médio Incompleto | 4, Ensino Médio Completo | 5, Ensino Superior Incompleto | 6, Ensino Superior Completo | 7, Pós-graduado Completo | 8, Não se aplica",,,,,,,,,,,,
sinais_e_sintomas,lipodistrofia,,text,"Sinais e sintomas",,,,,,,,,,,,,
dm,lipodistrofia,,radio,DM,"1, Sim | 2, Não",,,,,,,,,,,,
tempo_med_dose,lipodistrofia,,text,"Quanto tempo? Medicação? Dose?",,,,,,,"[dm] = '1'",,,,,,
predm,lipodistrofia,,radio,Pré-DM,"1, Sim | 2, Não",,,,,,,,,,,,
has,lipodistrofia,,radio,HAS,"1, Sim | 2, Não",,,,,,,,,,,,
tempo_med_dose_1,lipodistrofia,,text,"Quanto tempo? Medicação? Dose?",,,,,,,"[has] = '1'",,,,,,
dislipidemia,lipodistrofia,,radio,Dislipidemia,"1, Sim | 2, Não",,,,,,,,,,,,
tempo_med_dose_2,lipodistrofia,,text,"Quanto tempo? Medicação? Dose?",,,,,,,"[dislipidemia] = '1'",,,,,,
autoimune,lipodistrofia,,radio,"Doenças autoimunes","1, Sim | 2, Não",,,,,,,,,,,,
qual_tempo,lipodistrofia,,text,"Qual? Quanto tempo?",,,,,,,"[autoimune] = '1'",,,,,,
dcv,lipodistrofia,,dropdown,"Doença Cardiovascular","1, Angina | 2, Revascularizado | 3, IAM Prévio | 4, Angioplastia | 5, AVCi | 6, AVCh | 7, Não",,,,,,,,,,,,
pancreatite,lipodistrofia,,radio,Pancreatite,"1, Sim | 2, Não",,,,,,,,,,,,
bronquiectasias,lipodistrofia,,radio,Bronquiectasias,"1, Sim | 2, Não",,,,,,,,,,,,
tabagismo,lipodistrofia,,radio,Tabagismo,"1, Sim | 2, Não | 3, Ex",,,,,,,,,,,,
tempo_anos,lipodistrofia,,text,"Quanto tempo (anos)?",,,,,,,"[tabagismo] = '1'",,,,,,
tempo_anos_1,lipodistrofia,,text,"Quanto tempo (anos)?",,,,,,,"[tabagismo] = '3'",,,,,,
etlismo,lipodistrofia,,radio,Etlismo,"1, Sim | 2, Não | 3, Ex",,,,,,,,,,,,
tempo_anos_2,lipodistrofia,,text,"Quanto tempo (anos)?",,,,,,,"[etlismo] = '1'",,,,,,
tempo_anos_3,lipodistrofia,,text,"Quanto tempo (anos)?",,,,,,,"[etlismo] = '3'",,,,,,
menstruacao,lipodistrofia,,text,Menstruação,,,,,,,,,,,,,
gestacao,lipodistrofia,,text,Gestação,,,,,,,,,,,,,
menopausa,lipodistrofia,,radio,Menopausa,"1, Sim | 2, Não | 3, Não se aplica",,,,,,,,,,,,
quando,lipodistrofia,,text,Quando?,,,,,,,"[menopausa] = '1'",,,,,,
pratica_de_exercicio_fisi,lipodistrofia,,radio,"Prática de exercício físico","1, Sedentário | 2, Fim de semana | 3, 2 a 3x por semana | 4, 4 a 5x por semana | 5, +5x por semana",,,,,,,,,,,,
dm_1,lipodistrofia,,radio,"DM 1","1, Sim | 2, Não",,,,,,,,,,,,
quem,lipodistrofia,,text,Quem?,,,,,,,"[dm_1] = '1'",,,,,,
dm_2,lipodistrofia,,radio,"DM 2","1, Sim | 2, Não",,,,,,,,,,,,
quem_1,lipodistrofia,,text,Quem?,,,,,,,"[dm_2] = '1'",,,,,,
dislipidemia_1,lipodistrofia,,radio,Dislipidemia,"1, Sim | 2, Não",,,,,,,,,,,,
quem_2,lipodistrofia,,text,Quem?,,,,,,,"[dislipidemia_1] = '1'",,,,,,
has_1,lipodistrofia,,radio,HAS,"1, Sim | 2, Não",,,,,,,,,,,,
quem_3,lipodistrofia,,text,Quem?,,,,,,,"[has_1] = '1'",,,,,,
dcv_1,lipodistrofia,,radio,"Doença Cardiovascular","1, Sim | 2, Não",,,,,,,,,,,,
qual_quem,lipodistrofia,,text,"Qual? Quem?",,,,,,,"[dcv_1] = '1'",,,,,,
obesidade,lipodistrofia,,radio,Obesidade,"1, Sim | 2, Não",,,,,,,,,,,,
quem_4,lipodistrofia,,text,Quem?,,,,,,,"[obesidade] = '1'",,,,,,
autoimune_1,lipodistrofia,,radio,"Doenças autoimunes","1, Sim | 2, Não",,,,,,,,,,,,
quais_quem,lipodistrofia,,text,"Quais? Quem?",,,,,,,"[autoimune_1] = '1'",,,,,,
consanguinidade_dos_pais,lipodistrofia,,radio,"Consanguinidade dos pais","1, Sim | 2, Não",,,,,,,,,,,,
peso,lipodistrofia,,text,Peso,,,number,0,300,,,,,,,,
