Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,aaaaaa,,text,Record ID,,,,,,,,,,,,,
dados_de_identificacao_e,aaaaaa,,descriptive,Dados de Identificação e Sociodemográficos,,,,,,,,,,,,,
data_de_entrevista,aaaaaa,,text,Data de entrevista,,,date_dmy,,,,,,,,,,
prontuario,aaaaaa,,text,Prontuário,,,,,,,,,,,,,
nome,aaaaaa,,text,Nome,,,,,,,,,,,,,
telefone,aaaaaa,,text,Telefone,,,phone,,,,,,,,,,
data_de_nascimento,aaaaaa,,text,Data de nascimento,,,date_dmy,,,,,,,,,,
sexo,aaaaaa,,radio,Sexo,"1, Feminino | 2, Masculino",,,,,,,,,,,,
idade_anos,aaaaaa,,text,Idade (anos),,,number,0,120,,,,,,,,
naturalidade,aaaaaa,,text,Naturalidade,,,number,0,120,,,,,,,,
profissao,aaaaaa,,text,Profissão,,,,,,,,,,,,,
cor_autoreferida,aaaaaa,,radio,Cor auto-referida,"1, Branca | 2, Preta | 3, Parda/mulata | 4, Amarela/oriental | 5, Indígena",,,,,,,,,,,,
estado_civil,aaaaaa,,radio,Estado Civil,"1, Solteiro | 2, Casado | 3, Separado/Divorciado | 4, União Estável",,,,,,,,,,,,
escolaridade,aaaaaa,,dropdown,Escolaridade,"1, Ensino Fundamental Completo | 2, Ensino Fundamental Incompleto | 3, Ensino Médio Incompleto | 4, Ensino Médio Completo | 5, Ensino Superior Incompleto | 6, Ensino Superior Completo | 7, Pós-graduado Completo | 8, Não se aplica",,,,,,,,,,,,
sinais_e_sintomas,aaaaaa,,descriptive,Sinais e Sintomas,,,,,,,,,,,,,
sinais_e_sintomas_1,aaaaaa,,text,Sinais e sintomas,,,,,,,,,,,,,
antecedentes_morbidos_pes,aaaaaa,,descriptive,Antecedentes Mórbidos Pessoais,,,,,,,,,,,,,
dm,aaaaaa,,radio,DM,"1, Sim | 2, Não",,,,,,,,,,,,
tempo,aaaaaa,,text,Quanto tempo?,,,number,0,100,,[dm] = '1',,,,,,
med,aaaaaa,,text,Medicação?,,,,,,,[dm] = '1',,,,,,
dose,aaaaaa,,text,Dose?,,,,,,,[dm] = '1',,,,,,
predm,aaaaaa,,radio,Pré-DM,"1, Sim | 2, Não",,,,,,,,,,,,
has,aaaaaa,,radio,HAS,"1, Sim | 2, Não",,,,,,,,,,,,
tempo_1,aaaaaa,,text,Quanto tempo?,,,number,0,100,,[has] = '1',,,,,,
med_1,aaaaaa,,text,Medicação?,,,,,,,[has] = '1',,,,,,
dose_1,aaaaaa,,text,Dose?,,,,,,,[has] = '1',,,,,,
dislipidemia,aaaaaa,,radio,Dislipidemia,"1, Sim | 2, Não",,,,,,,,,,,,
tempo_2,aaaaaa,,text,Quanto tempo?,,,number,0,100,,[dislipidemia] = '1',,,,,,
med_2,aaaaaa,,text,Medicação?,,,,,,,[dislipidemia] = '1',,,,,,
dose_2,aaaaaa,,text,Dose?,,,,,,,[dislipidemia] = '1',,,,,,
autoimune,aaaaaa,,radio,Doenças autoimunes,"1, Sim | 2, Não",,,,,,,,,,,,
qual,aaaaaa,,text,Qual?,,,,,,,[autoimune] = '1',,,,,,
tempo_3,aaaaaa,,text,Quanto tempo?,,,number,0,100,,[autoimune] = '1',,,,,,
dcv,aaaaaa,,dropdown,Doença Cardiovascular,"1, Angina | 2, Revascularizado | 3, IAM Prévio | 4, Angioplastia | 5, AVCi | 6, AVCh | 7, Não",,,,,,,,,,,,
pancreatite,aaaaaa,,radio,Pancreatite,"1, Sim | 2, Não",,,,,,,,,,,,
bronquiectasias,aaaaaa,,radio,Bronquiectasias,"1, Sim | 2, Não",,,,,,,,,,,,
tabagismo,aaaaaa,,radio,Tabagismo,"1, Sim | 2, Não | 3, Ex",,,,,,,,,,,,
tempo_anos,aaaaaa,,text,Quanto tempo (anos)?,,,number,0,100,,[tabagismo] = '1',,,,,,
tempo_anos_1,aaaaaa,,text,Quanto tempo (anos)?,,,number,0,100,,[tabagismo] = '3',,,,,,
etlismo,aaaaaa,,radio,Etlismo,"1, Sim | 2, Não | 3, Ex",,,,,,,,,,,,
tempo_anos_2,aaaaaa,,text,Quanto tempo (anos)?,,,number,0,100,,[etlismo] = '1',,,,,,
