Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,lipodistrofia,,text,Record ID,,,,,,,,,,,,,
dados_de_identificacao_e,lipodistrofia,,descriptive,Dados de Identificação e Sociodemográficos,,,,,,,,,,,,,
data_de_entrevista,lipodistrofia,,text,Data de entrevista,,,date_dmy,,,,,,,,,,
prontuario,lipodistrofia,,text,Prontuário,,,,,,,,,,,,,
nome,lipodistrofia,,text,Nome,,,,,,,,,,,,,
telefone,lipodistrofia,,text,Telefone,,,phone,,,,,,,,,,
data_de_nascimento,lipodistrofia,,text,Data de nascimento,,,date_dmy,,,,,,,,,,
sexo,lipodistrofia,,radio,Sexo,"1, Feminino | 2, Masculino",,,,,,,,,,,,
idade_anos,lipodistrofia,,text,Idade (anos),,,number,0,120,,,,,,,,
naturalidade,lipodistrofia,,text,Naturalidade,,,number,0,120,,,,,,,,
profissao,lipodistrofia,,text,Profissão,,,,,,,,,,,,,
cor_autoreferida,lipodistrofia,,radio,Cor auto-referida,"1, Branca | 2, Preta | 3, Parda/mulata | 4, Amarela/oriental | 5, Indígena",,,,,,,,,,,,
estado_civil,lipodistrofia,,radio,Estado Civil,"1, Solteiro | 2, Casado | 3, Separado/Divorciado | 4, União Estável",,,,,,,,,,,,
escolaridade,lipodistrofia,,dropdown,Escolaridade,"1, Ensino Fundamental Completo | 2, Ensino Fundamental Incompleto | 3, Ensino Médio Incompleto | 4, Ensino Médio Completo | 5, Ensino Superior Incompleto | 6, Ensino Superior Completo | 7, Pós-graduado Completo | 8, Não se aplica",,,,,,,,,,,,
sinais_e_sintomas,lipodistrofia,,descriptive,Sinais e Sintomas,,,,,,,,,,,,,
sinais_e_sintomas_1,lipodistrofia,,text,Sinais e sintomas,,,,,,,,,,,,,
antecedentes_morbidos_pes,lipodistrofia,,descriptive,Antecedentes Mórbidos Pessoais,,,,,,,,,,,,,
dm,lipodistrofia,,radio,DM,"1, Sim | 2, Não",,,,,,,,,,,,
tempo,lipodistrofia,,text,Quanto tempo?,,,number,0,100,,[dm] = '1',,,,,,
med,lipodistrofia,,text,Medicação?,,,,,,,[dm] = '1',,,,,,
dose,lipodistrofia,,text,Dose?,,,,,,,[dm] = '1',,,,,,
predm,lipodistrofia,,radio,Pré-DM,"1, Sim | 2, Não",,,,,,,,,,,,
has,lipodistrofia,,radio,HAS,"1, Sim | 2, Não",,,,,,,,,,,,
tempo_1,lipodistrofia,,text,Quanto tempo?,,,number,0,100,,[has] = '1',,,,,,
med_1,lipodistrofia,,text,Medicação?,,,,,,,[has] = '1',,,,,,
dose_1,lipodistrofia,,text,Dose?,,,,,,,[has] = '1',,,,,,
dislipidemia,lipodistrofia,,radio,Dislipidemia,"1, Sim | 2, Não",,,,,,,,,,,,
tempo_2,lipodistrofia,,text,Quanto tempo?,,,number,0,100,,[dislipidemia] = '1',,,,,,
med_2,lipodistrofia,,text,Medicação?,,,,,,,[dislipidemia] = '1',,,,,,
dose_2,lipodistrofia,,text,Dose?,,,,,,,[dislipidemia] = '1',,,,,,
